,meanx,meany,stx,sty,s,i,r
5,1,1.5,0.0001,0.01,0.906686602,0.393461434,0.91
105,1,1.5,0.0001,0.016681005,0.906488484,0.393831648,0.91
205,1,1.5,0.0001,0.027825594,0.906154724,0.394434772,0.91
305,1,1.5,0.0001,0.046415888,0.905588699,0.39540085,0.902
405,1,1.5,0.0001,0.077426368,0.904617866,0.396901547,0.9
505,1,1.5,0.0001,0.129154967,0.902919415,0.399096438,0.896
605,1,1.5,0.0001,0.215443469,0.899836186,0.401875534,0.876
705,1,1.5,0.0001,0.359381366,0.893842048,0.403423272,0.816
805,1,1.5,0.0001,0.59948425,0.871395661,0.420973965,0.648
905,1,1.5,0.0001,1,0.879812025,0.392266388,0.464
1005,1,1.5,0.001,0.01,0.906661106,0.393510787,0.91
1105,1,1.5,0.001,0.016681005,0.906463044,0.393880901,0.91
1205,1,1.5,0.001,0.027825594,0.906129378,0.394483855,0.91
1305,1,1.5,0.001,0.046415888,0.905563519,0.395449636,0.902
1405,1,1.5,0.001,0.077426368,0.90459298,0.396949806,0.9
1505,1,1.5,0.001,0.129154967,0.90289507,0.399143726,0.896
1605,1,1.5,0.001,0.215443469,0.899812892,0.401920941,0.876
1705,1,1.5,0.001,0.359381366,0.893820916,0.403464822,0.816
1805,1,1.5,0.001,0.59948425,0.871377796,0.42100989,0.648
1905,1,1.5,0.001,1,0.879777559,0.392331325,0.464
2005,1,1.5,0.01,0.01,0.906393825,0.394029285,0.91
2105,1,1.5,0.01,0.016681005,0.906196326,0.394398382,0.91
2205,1,1.5,0.01,0.027825594,0.905863625,0.394999595,0.91
2305,1,1.5,0.01,0.046415888,0.905299443,0.39596235,0.904
2405,1,1.5,0.01,0.077426368,0.90433189,0.397457139,0.9
2505,1,1.5,0.01,0.129154967,0.902639483,0.399641158,0.898
2605,1,1.5,0.01,0.215443469,0.899567982,0.402399195,0.876
2705,1,1.5,0.01,0.359381366,0.893597975,0.403903735,0.816
2805,1,1.5,0.01,0.59948425,0.871189788,0.421388005,0.648
2905,1,1.5,0.01,1,0.879422168,0.393002451,0.464
3005,1,1.5,0.1,0.01,0.902328902,0.402016648,0.908
3105,1,1.5,0.1,0.016681005,0.902137894,0.402373669,0.908
3205,1,1.5,0.1,0.027825594,0.901816311,0.402954214,0.904
3305,1,1.5,0.1,0.046415888,0.901271472,0.403881051,0.904
3405,1,1.5,0.1,0.077426368,0.900338379,0.405311952,0.9
3505,1,1.5,0.1,0.129154967,0.898709551,0.407378358,0.896
3605,1,1.5,0.1,0.215443469,0.895761677,0.409908355,0.876
3705,1,1.5,0.1,0.359381366,0.890046984,0.410943579,0.816
3805,1,1.5,0.1,0.59948425,0.86821003,0.427371166,0.652
3905,1,1.5,0.1,1,0.874639756,0.402182036,0.468
4005,1,1.5,1,0.01,0.800273943,0.613081112,0.854
4105,1,1.5,1,0.016681005,0.800160548,0.613286274,0.854
4205,1,1.5,1,0.027825594,0.799971091,0.613608837,0.854
4305,1,1.5,1,0.046415888,0.79965398,0.614092483,0.854
4405,1,1.5,1,0.077426368,0.799120932,0.614748769,0.85
4505,1,1.5,1,0.129154967,0.798215216,0.615425593,0.848
4605,1,1.5,1,0.215443469,0.796630939,0.615364865,0.836
4705,1,1.5,1,0.359381366,0.793580078,0.61143577,0.798
4805,1,1.5,1,0.59948425,0.782669801,0.607134107,0.682
4905,1,1.5,1,1,0.766639011,0.623211032,0.52
6,1,1.6,0.0001,0.01,0.906705061,0.421455192,0.91
106,1,1.6,0.0001,0.016681005,0.906519497,0.421803027,0.91
206,1,1.6,0.0001,0.027825594,0.906207078,0.422370565,0.91
306,1,1.6,0.0001,0.046415888,0.905677801,0.423282103,0.904
406,1,1.6,0.0001,0.077426368,0.904771614,0.424705198,0.9
506,1,1.6,0.0001,0.129154967,0.903191306,0.426808178,0.9
606,1,1.6,0.0001,0.215443469,0.900340113,0.42954635,0.88
706,1,1.6,0.0001,0.359381366,0.894847294,0.43157895,0.83
806,1,1.6,0.0001,0.59948425,0.877113504,0.442188366,0.678
906,1,1.6,0.0001,1,0.870451095,0.434404422,0.476
1006,1,1.6,0.001,0.01,0.90667956,0.421504555,0.91
1106,1,1.6,0.001,0.016681005,0.906494048,0.421852297,0.91
1206,1,1.6,0.001,0.027825594,0.906181718,0.422419675,0.91
1306,1,1.6,0.001,0.046415888,0.905652594,0.423330937,0.904
1406,1,1.6,0.001,0.077426368,0.904746681,0.424753542,0.9
1506,1,1.6,0.001,0.129154967,0.903166873,0.426855625,0.9
1606,1,1.6,0.001,0.215443469,0.900316642,0.429592072,0.88
1706,1,1.6,0.001,0.359381366,0.894825806,0.431621132,0.83
1806,1,1.6,0.001,0.59948425,0.877092226,0.44223033,0.678
1906,1,1.6,0.001,1,0.870422679,0.434458484,0.476
2006,1,1.6,0.01,0.01,0.906412227,0.422023146,0.91
2106,1,1.6,0.01,0.016681005,0.906227242,0.422369937,0.91
2206,1,1.6,0.01,0.027825594,0.905915812,0.42293569,0.91
2306,1,1.6,0.01,0.046415888,0.905388251,0.423844133,0.904
2406,1,1.6,0.01,0.077426368,0.904485109,0.425261742,0.9
2506,1,1.6,0.01,0.129154967,0.902910383,0.427354679,0.9
2606,1,1.6,0.01,0.215443469,0.900069937,0.430073547,0.88
2706,1,1.6,0.01,0.359381366,0.89459925,0.432066503,0.83
2806,1,1.6,0.01,0.59948425,0.876869329,0.442670342,0.678
2906,1,1.6,0.01,1,0.87012908,0.435018206,0.476
3006,1,1.6,0.1,0.01,0.902346703,0.430011627,0.908
3106,1,1.6,0.1,0.016681005,0.902167788,0.430347124,0.908
3206,1,1.6,0.1,0.027825594,0.90186674,0.430893577,0.904
3306,1,1.6,0.1,0.046415888,0.901357196,0.431768557,0.904
3406,1,1.6,0.1,0.077426368,0.900486041,0.43312685,0.9
3506,1,1.6,0.1,0.129154967,0.898970024,0.435111149,0.9
3606,1,1.6,0.1,0.215443469,0.896242831,0.43762103,0.88
3706,1,1.6,0.1,0.359381366,0.891006064,0.439183794,0.828
3806,1,1.6,0.1,0.59948425,0.873468908,0.449415865,0.68
3906,1,1.6,0.1,1,0.866085269,0.44283596,0.478
4006,1,1.6,1,0.01,0.800284545,0.64109019,0.854
4106,1,1.6,1,0.016681005,0.800178252,0.641283566,0.854
4206,1,1.6,1,0.027825594,0.800000684,0.64158884,0.854
4306,1,1.6,1,0.046415888,0.799703568,0.6420502,0.854
4406,1,1.6,1,0.077426368,0.799204516,0.642687436,0.85
4506,1,1.6,1,0.129154967,0.798358244,0.643383247,0.848
4606,1,1.6,1,0.215443469,0.796886144,0.643504437,0.838
4706,1,1.6,1,0.359381366,0.794111824,0.640463306,0.804
4806,1,1.6,1,0.59948425,0.784954006,0.634118062,0.698
4906,1,1.6,1,1,0.763614962,0.655738831,0.544
7,1,1.7,0.0001,0.01,0.906721337,0.447753231,0.91
107,1,1.7,0.0001,0.016681005,0.906546831,0.448081237,0.91
207,1,1.7,0.0001,0.027825594,0.90625319,0.448617142,0.91
307,1,1.7,0.0001,0.046415888,0.90575618,0.449479914,0.904
407,1,1.7,0.0001,0.077426368,0.904906574,0.450832747,0.9
507,1,1.7,0.0001,0.129154967,0.903429049,0.452849551,0.9
607,1,1.7,0.0001,0.215443469,0.900777387,0.455535499,0.882
707,1,1.7,0.0001,0.359381366,0.895717045,0.457868892,0.836
807,1,1.7,0.0001,0.59948425,0.877745209,0.472109755,0.708
907,1,1.7,0.0001,1,0.874227377,0.452949734,0.494
1007,1,1.7,0.001,0.01,0.906695832,0.447802602,0.91
1107,1,1.7,0.001,0.016681005,0.906521375,0.448130521,0.91
1207,1,1.7,0.001,0.027825594,0.906227817,0.448666275,0.91
1307,1,1.7,0.001,0.046415888,0.905730951,0.449528789,0.904
1407,1,1.7,0.001,0.077426368,0.904881599,0.450881165,0.9
1507,1,1.7,0.001,0.129154967,0.903404538,0.452897136,0.9
1607,1,1.7,0.001,0.215443469,0.900753764,0.455581493,0.882
1707,1,1.7,0.001,0.359381366,0.89569524,0.457911638,0.836
1807,1,1.7,0.001,0.59948425,0.877726104,0.472147855,0.708
1907,1,1.7,0.001,1,0.874213869,0.452976328,0.494
2007,1,1.7,0.01,0.01,0.906428453,0.448321277,0.91
2107,1,1.7,0.01,0.016681005,0.90625449,0.448648302,0.91
2207,1,1.7,0.01,0.027825594,0.905961777,0.449182532,0.91
2307,1,1.7,0.01,0.046415888,0.905466373,0.450042407,0.904
2407,1,1.7,0.01,0.077426368,0.904619608,0.451390122,0.9
2507,1,1.7,0.01,0.129154967,0.903147266,0.453397597,0.9
2607,1,1.7,0.01,0.215443469,0.900505516,0.456065739,0.882
2707,1,1.7,0.01,0.359381366,0.895465468,0.458362764,0.836
2807,1,1.7,0.01,0.59948425,0.877524869,0.472549372,0.708
2907,1,1.7,0.01,1,0.874068203,0.453263541,0.494
3007,1,1.7,0.1,0.01,0.9023624,0.456310742,0.908
3107,1,1.7,0.1,0.016681005,0.902194138,0.456627161,0.908
3207,1,1.7,0.1,0.027825594,0.90191116,0.45714329,0.906
3307,1,1.7,0.1,0.046415888,0.901432618,0.457971845,0.904
3407,1,1.7,0.1,0.077426368,0.900615691,0.459264214,0.9
3507,1,1.7,0.1,0.129154967,0.899197863,0.461170787,0.9
3607,1,1.7,0.1,0.215443469,0.896660531,0.463646174,0.882
3707,1,1.7,0.1,0.359381366,0.891834851,0.465548794,0.838
3807,1,1.7,0.1,0.59948425,0.874330355,0.478930617,0.706
3907,1,1.7,0.1,1,0.871389508,0.45857534,0.494
4007,1,1.7,1,0.01,0.800293898,0.667401729,0.854
4107,1,1.7,1,0.016681005,0.800193869,0.667584591,0.854
4207,1,1.7,1,0.027825594,0.800026786,0.667874295,0.854
4307,1,1.7,1,0.046415888,0.799747288,0.668315116,0.854
4407,1,1.7,1,0.077426368,0.799278132,0.668933121,0.852
4507,1,1.7,1,0.129154967,0.798483874,0.669638827,0.848
4607,1,1.7,1,0.215443469,0.797108542,0.669899309,0.84
4707,1,1.7,1,0.359381366,0.794558179,0.667536065,0.812
4807,1,1.7,1,0.59948425,0.786614603,0.662279289,0.722
4907,1,1.7,1,1,0.777722675,0.655233204,0.564
8,1,1.8,0.0001,0.01,0.906735797,0.472549312,0.91
108,1,1.8,0.0001,0.016681005,0.906571105,0.472859626,0.91
208,1,1.8,0.0001,0.027825594,0.906294112,0.473367228,0.91
308,1,1.8,0.0001,0.046415888,0.905825663,0.474186145,0.904
408,1,1.8,0.0001,0.077426368,0.905025992,0.475475116,0.9
508,1,1.8,0.0001,0.129154967,0.903638703,0.477411343,0.9
608,1,1.8,0.0001,0.215443469,0.901160453,0.480038568,0.886
708,1,1.8,0.0001,0.359381366,0.896472574,0.482565095,0.846
808,1,1.8,0.0001,0.59948425,0.881692623,0.494178983,0.738
908,1,1.8,0.0001,1,0.877332194,0.475586195,0.53
1008,1,1.8,0.001,0.01,0.906710288,0.47259869,0.91
